RvFACTS Catalog Export — 2026-08-09T04:24:18Z
Makes: 50  Models: 363  Powertrain bands: 400

## ATC (5 models)
  - Game Changer: Toy Hauler | — | — | floors=5 | 2014-2026
  - Quantum: Class C | Ford 7.3L V8 Godzilla / Mercedes Sprinter (by floorplan) | 350HP | floors=6 | 2014-2026
  - Rize: Toy Hauler | — | — | floors=3 | 2018-2026
  - Rize Plus: Toy Hauler | — | — | floors=3 | 2020-2026
  - Sanctuary: Class B | Mercedes-Benz Sprinter turbodiesel | 188HP | floors=3 | 2015-2026
  - Seneca: Super C | Ford Power Stroke 6.7L / Cummins Super C (by year) | 330HP | floors=3 | 2012-2026
  - Sequence: Class B | Mercedes-Benz 2.0L I4 turbo diesel | 208HP | floors=4 | 2021-2026
  - Tuscany: Class A Diesel | Cummins L9 / ISX (by year) | 450HP | floors=4 | 2005-2026
  - Windsport: Class A Gas | Ford 7.3L / V10 (by year) | 350HP | floors=5 | 2008-2026

## Tiffin (13 models)
  - Allegro: Class A Gas | Ford 7.3L / V10 (by year) | 350HP | floors=3 | 2000-2022
  - Allegro Breeze: Class A Diesel | Cummins ISB / B6.7 340HP | 340HP | floors=3 | 2008-2020
  - Allegro Bus: Class A Diesel | Cummins L9 450HP (X12/X15 options by year) | 450HP | floors=8 | 2000-2026
  - Allegro Bus 45OPP: Class A Diesel | Cummins L9 450HP (X12 optional) | 450HP | floors=1 | 2012-2026
  - Allegro Red: Class A Diesel | Cummins ISB 6.7L 360HP | 360HP | floors=3 | 2005-2017
  - Allegro Red 340: Class A Diesel | Cummins B6.7 360HP | 360HP | floors=8 | 2014-2026
  - Allegro Red 360: Class A Diesel | Cummins L9 380–450HP | 380HP | floors=4 | 2018-2026
  - Cahaba: Class C | Mercedes-Benz 2.0L turbodiesel | 208HP | floors=2 | 2023-2026
  - Open Road: Class A Gas | Ford 7.3L Godzilla / V10 (by year) | 350HP | floors=4 | 2010-2026
  - Phaeton: Class A Diesel | Cummins L9 450HP | 450HP | floors=6 | 2000-2026
  - Wayfarer: Class C | Mercedes-Benz turbodiesel (Sprinter) | 188HP | floors=5 | 2016-2026
  - Wayfarer 25: Class C | Mercedes-Benz turbodiesel | 188HP | floors=4 | 2018-2026
  - Zephyr: Class A Diesel | Cummins X12 / X15 500–605HP | 500HP | floors=5 | 2000-2026

## Winnebago (26 models)
  - Access Super C: Super C | Ford Power Stroke 6.7L Diesel | 330HP | floors=4 | 2021-2026
  - Adventurer: Class A Gas | Ford Triton V10 6.8L / 7.3L (by year) | 320HP | floors=5 | 2000-2021
  - Boldt: Class B | Mercedes-Benz 2.0L I4 turbodiesel | 208HP | floors=2 | 2020-2026
  - EKKO: Class C | Ford / Mercedes (by floorplan) | 208HP | floors=2 | 2021-2026
  - Era: Class B | Mercedes-Benz turbodiesel | 188HP | floors=2 | 2010-2022
  - Forza: Class A Diesel | Cummins B6.7 340HP | 340HP | floors=5 | 2016-2026
  - Grand Tour: Class A Diesel | Cummins ISX / L9 (by year) | 450HP | floors=3 | 2005-2019
  - Horizon: Class A Diesel | Cummins L9 450HP | 450HP | floors=3 | 2018-2026
  - Intent: Class A Gas | Ford 7.3L V8 Godzilla | 350HP | floors=4 | 2019-2026
  - Itasca Sunstar: Class A Gas | Ford Triton V10 6.8L | 320HP | floors=4 | 2005-2019
  - Journey: Class A Diesel | Cummins B6.7 340HP | 340HP | floors=6 | 2002-2022
  - Micro Minnie: Travel Trailer | — | — | floors=6 | 2014-2026
  - Minnie: Travel Trailer | — | — | floors=4 | 2010-2026
  - Minnie Winnie: Class C | Ford 7.3L V8 Godzilla | 350HP | floors=8 | 2000-2026
  - Navion: Class C | Mercedes-Benz 2.0L I4 turbodiesel | 208HP | floors=6 | 2006-2026
  - Outlook: Class C | Ford 7.3L V8 | 350HP | floors=4 | 2014-2022
  - Porto: Class C | Mercedes-Benz turbodiesel | 188HP | floors=3 | 2019-2023
  - Revel: Class B | Mercedes-Benz 2.0L I4 turbodiesel | 208HP | floors=1 | 2018-2026
  - Solis: Class B | RAM 3.6L V6 gas | 276HP | floors=3 | 2019-2026
  - Spirit: Class C | Ford 7.3L V8 Godzilla | 350HP | floors=7 | 2005-2026
  - Sunstar: Class A Gas | Ford 7.3L V8 Godzilla | 350HP | floors=5 | 2010-2026
  - Travato: Class B | RAM 3.6L V6 gas | 276HP | floors=3 | 2014-2026
  - Via: Class A Diesel | Mercedes-Benz 3.0L turbodiesel | 188HP | floors=2 | 2013-2021
  - View: Class C | Mercedes-Benz 2.0L I4 turbodiesel | 208HP | floors=7 | 2006-2026
  - Vista: Class A Gas | Ford 7.3L V8 Godzilla | 350HP | floors=7 | 2010-2026
  - Vita: Class C | Mercedes-Benz turbodiesel | 188HP | floors=3 | 2018-2022

## Winnebago Classic (2 models)
  - Chieftain: Class A Gas | Ford V10 6.8L | 320HP | floors=4 | 1966-2006
  - Ultimate Freedom: Class A Diesel | Cummins ISL 340HP | 340HP | floors=3 | 2000-2007

